Short,Team,City,State,Country,Stadium,StadiumLatitude,StadiumLongitude,Conference,Joined,Active,Defunct,
ATL,Atlanta United FC,Atlanta,Georgia,USA,Mercedes-Benz Stadium,33.7545589,-84.4028024,Eastern Conference,2017,N,,
CHI,Chicago Fire,Bridgeview,Illinois,USA,Toyota Park,41.7648147,-87.8060797,Eastern Conference,1998,Y,,
CHV,Chivas USA,Carson,California,USA,StubHub Center,33.8643414,-118.2611082,Western Conference,2005,N,2014,
CLB,Columbus Crew SC,Columbus,Ohio,USA,Mapfre Stadium,40.0089948,-82.9912198,Eastern Conference,1996,Y,,
COL,Colorado Rapids,Commerce City,Colorado,USA,Dick's Sporting Goods Park,39.8056867,-104.8918117,Western Conference,1996,Y,,
DC,D.C. United,Washington,D.C.,USA,RFK Stadium,38.8897896,-76.9718806,Eastern Conference,1996,Y,,
FCD,FC Dallas,Frisco,Texas,USA,Toyota Stadium,33.154248,-96.8359145,Western Conference,1996,Y,,
HOU,Houston Dynamo,Houston,Texas,USA,BBVA Compass Stadium,29.7529691,-95.3519378,Western Conference,2006,Y,,
LAFC,Los Angeles FC,Los Angeles,California,USA,LAFC Stadium,34.013,-118.285,Western Conference,2018,N,,
LAG,LA Galaxy,Carson,California,USA,StubHub Center,33.8643414,-118.2611082,Western Conference,1996,Y,,
MIAF,Miami Fusion,Fort Lauderdale,Florida,USA,Lockhart Stadium,26.1911944,-80.1594801,Eastern Conference,1998,N,2001,
MTL,Montreal Impact,Montreal,Quebec,Canada,Saputo Stadium,45.4544015,-73.6418964,Eastern Conference,2012,Y,,
NE,New England Revolution,Foxborough,Massachusetts,USA,Gillette Stadium,42.0925375,-71.2641249,Eastern Conference,1996,Y,,
NYCFC,New York City FC,New York,New York,USA,Yankee Stadium,40.8288189,-73.9265691,Eastern Conference,2015,Y,,
NYRB,New York Red Bulls,Harrison,New Jersey,USA,Red Bull Arena,40.7366401,-74.1496172,Eastern Conference,1996,Y,,
ORL,Orlando City SC,Orlando,Florida,USA,Orlando Citrus Bowl,28.5388985,81.4033425,Eastern Conference,2015,Y,,
PHI,Philadelphia Union,Chester,Pennsylvania,USA,Talen Energy Stadium,39.8330235,-75.3778345,Eastern Conference,2010,Y,,
POR,Portland Timbers,Portland,Oregon,USA,Providence Park,45.5216743,-122.6908289,Western Conference,2011,Y,,
RSL,Real Salt Lake,Sandy,Utah,USA,Rio Tinto Stadium,40.5830245,-111.8932777,Western Conference,2005,Y,,
SEA,Seattle Sounders SC,Seattle,Washington,USA,CenturyLink Field,47.5933039,-122.3321654,Western Conference,2009,Y,,
SJE,San Jose Earthquakes,San Jose,California,USA,Avaya Stadium,37.3517215,-121.9228201,Western Conference,1996,Y,,
SKC,Sporting Kansas City,Kansas City,Kansas,USA,Children's Mercy Park,39.122757,-94.8249294,Western Conference,1996,Y,,
TBM,Tampa Bay Mutiny,Tampa,Florida,USA,Raymond James Stadium ,27.975833,-82.503333,Eastern Conference,1996,N,2001,
TFC,Toronto FC,Toronto,Ontario,Canada,BMO Field,43.6862557,-79.5811089,Eastern Conference,2007,Y,,
VAN,Vancouver Whitecaps FC,Vancouver,British Columbia,Canada,BC Place,49.2766941,-123.1119982,Western Conference,2011,Y,,
