SalaryShortClub,SalaryLastName,SalaryFirstName,SalaryName,SalaryPos,SalaryBaseSalary,SalaryCompensation,SalaryDate,SalaryYear,SalaryMonth,SalaryMonthYear,Designated Player,Remarks
SEA,Keller ,Kasey ,Kasey  Keller ,GK , -  , -  ,"July 10, 2008",2008,July,July 2008,,
NYRB,Abang,Anatole,Anatole Abang,F,50000.00,50000.00,"September 15, 2015",2015,September,September 2015,,
ORL,Kaka,Ricardo,Ricardo Kaka,M,6660000.00,7167500.00,"September 15, 2014",2014,September,September 2014,,
SKC,Abdul-Salaam,Saad,Saad Abdul-Salaam,D,60000.00,73750.00,"September 15, 2015",2015,September,September 2015,,
CHI,Accam,David,David Accam,F,650000.00,720938.00,"September 15, 2015",2015,September,September 2015,,
FCD,Acosta,Kellyn,Kellyn Acosta,M,60000.00,84000.00,"September 15, 2015",2015,September,September 2015,,
TFC,Bradley,Michael,Michael Bradley,M,6000000.00,6500000.00,"September 15, 2014",2014,September,September 2014,,
TFC,Defoe,Jermain,Jermain Defoe,F,6000000.00,6180000.00,"September 15, 2014",2014,September,September 2014,,
TFC,Bradley,Michael,Michael Bradley,M,6000000.00,6500000.00,"April 1, 2014",2014,April,April 2014,,
TFC,Defoe,Jermain,Jermain Defoe,F,6000000.00,6180000.00,"April 1, 2014",2014,April,April 2014,,
VAN,Adekugbe,Samuel,Samuel Adekugbe,D,60000.00,65000.00,"September 15, 2015",2015,September,September 2015,,
POR,Adi,Fanendo,Fanendo Adi,F,651500.00,664000.00,"September 15, 2015",2015,September,September 2015,,
NYRB,Marquez ,Rafael ,Rafael  Marquez ,D ,5544000.00,5544000.00,"August 12, 2010",2010,August,August 2010,,
LAG,Beckham ,David ,David  Beckham ,M ,5500000.00,6500000.00,"January 9, 2011",2011,January,January 2011,,
LAG,Beckham ,David ,David  Beckham ,M ,5500000.00,6500000.00,"August 12, 2010",2010,August,August 2010,,
LAG,Beckham ,David ,David  Beckham ,M ,5500000.00,6500000.00,"September 15, 2009",2009,September,September 2009,,
LAG,Beckham ,David ,David  Beckham ,M ,5500000.00,6500000.00,"July 10, 2008",2008,July,July 2008,,
LAG,Beckham ,David ,David  Beckham ,M ,5500000.00,6500000.00,"July 31, 2007",2007,July,July 2007,,
NYRB,Henry ,Thierry ,Thierry  Henry ,F ,5000000.00,5600000.00,"January 10, 2012",2012,January,January 2012,,
NYRB,Henry ,Thierry ,Thierry  Henry ,F ,5000000.00,5600000.00,"August 1, 2012",2012,August,August 2012,,
NYRB,Henry ,Thierry ,Thierry  Henry ,F ,5000000.00,5600000.00,"May 15, 2012",2012,May,May 2012,,
NYRB,Henry ,Thierry ,Thierry  Henry ,F ,5000000.00,5600000.00,"January 9, 2011",2011,January,January 2011,,
NYRB,Henry ,Thierry ,Thierry  Henry ,F ,5000000.00,5600000.00,"August 12, 2010",2010,August,August 2010,,
