SalaryShortClub,SalaryLastName,SalaryFirstName,SalaryName,SalaryPos, SalaryBaseSalary , SalaryCompensation ,SalaryDate,SalaryYear,SalaryMonth,SalaryMonthYear,Designated Player,Column2
SEA,Keller ,Kasey ,Kasey  Keller ,GK ,  -   ,  -   ,"July 10, 2008",2008,July,July 2008,,
NYRB,Abang,Anatole,Anatole Abang,F, $50Ê000.00 , $50Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
ORL,Kaka,Ricardo,Ricardo Kaka,M, $6Ê660Ê000.00 , $7Ê167Ê500.00 ,"September 15, 2014",2014,September,September 2014,,
SKC,Abdul-Salaam,Saad,Saad Abdul-Salaam,D, $60Ê000.00 , $73Ê750.00 ,"September 15, 2015",2015,September,September 2015,,
CHI,Accam,David,David Accam,F, $650Ê000.00 , $720Ê938.00 ,"September 15, 2015",2015,September,September 2015,,
FCD,Acosta,Kellyn,Kellyn Acosta,M, $60Ê000.00 , $84Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
TFC,Bradley,Michael,Michael Bradley,M, $6Ê000Ê000.00 , $6Ê500Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
TFC,Defoe,Jermain,Jermain Defoe,F, $6Ê000Ê000.00 , $6Ê180Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
TFC,Bradley,Michael,Michael Bradley,M, $6Ê000Ê000.00 , $6Ê500Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
TFC,Defoe,Jermain,Jermain Defoe,F, $6Ê000Ê000.00 , $6Ê180Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
VAN,Adekugbe,Samuel,Samuel Adekugbe,D, $60Ê000.00 , $65Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
POR,Adi,Fanendo,Fanendo Adi,F, $651Ê500.00 , $664Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
NYRB,Marquez ,Rafael ,Rafael  Marquez ,D , $5Ê544Ê000.00 , $5Ê544Ê000.00 ,"August 12, 2010",2010,August,August 2010,,
LAG,Beckham ,David ,David  Beckham ,M , $5Ê500Ê000.00 , $6Ê500Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
LAG,Beckham ,David ,David  Beckham ,M , $5Ê500Ê000.00 , $6Ê500Ê000.00 ,"August 12, 2010",2010,August,August 2010,,
LAG,Beckham ,David ,David  Beckham ,M , $5Ê500Ê000.00 , $6Ê500Ê000.00 ,"September 15, 2009",2009,September,September 2009,,
LAG,Beckham ,David ,David  Beckham ,M , $5Ê500Ê000.00 , $6Ê500Ê000.00 ,"July 10, 2008",2008,July,July 2008,,
LAG,Beckham ,David ,David  Beckham ,M , $5Ê500Ê000.00 , $6Ê500Ê000.00 ,"July 31, 2007",2007,July,July 2007,,
NYRB,Henry ,Thierry ,Thierry  Henry ,F , $5Ê000Ê000.00 , $5Ê600Ê000.00 ,"January 10, 2012",2012,January,January 2012,,
NYRB,Henry ,Thierry ,Thierry  Henry ,F , $5Ê000Ê000.00 , $5Ê600Ê000.00 ,"August 1, 2012",2012,August,August 2012,,
NYRB,Henry ,Thierry ,Thierry  Henry ,F , $5Ê000Ê000.00 , $5Ê600Ê000.00 ,"May 15, 2012",2012,May,May 2012,,
NYRB,Henry ,Thierry ,Thierry  Henry ,F , $5Ê000Ê000.00 , $5Ê600Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
NYRB,Henry ,Thierry ,Thierry  Henry ,F , $5Ê000Ê000.00 , $5Ê600Ê000.00 ,"August 12, 2010",2010,August,August 2010,,
SEA,Dempsey,Clint,Clint Dempsey,F, $4Ê913Ê004.00 , $6Ê695Ê189.00 ,"September 15, 2014",2014,September,September 2014,,
SEA,Dempsey,Clint,Clint Dempsey,F, $4Ê913Ê004.00 , $6Ê695Ê189.00 ,"April 1, 2014",2014,April,April 2014,,
SEA,Dempsey,Clint,Clint Dempsey,F, $4Ê913Ê004.00 , $5Ê038Ê567.00 ,"September 15, 2013",2013,September,September 2013,,
SEA,Dempsey,Clint,Clint Dempsey,F, $4Ê913Ê004.00 , $5Ê038Ê567.00 ,"August 1, 2013",2013,August,August 2013,,
CLB,Afful,Harrison,Harrison Afful,D, $150Ê000.00 , $150Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
NYRB,Marquez ,Rafael ,Rafael  Marquez ,D , $4Ê600Ê000.00 , $4Ê600Ê000.00 ,"January 10, 2012",2012,January,January 2012,,
NYRB,Marquez ,Rafael ,Rafael  Marquez ,D , $4Ê600Ê000.00 , $4Ê600Ê000.00 ,"August 1, 2012",2012,August,August 2012,,
NYRB,Marquez ,Rafael ,Rafael  Marquez ,D , $4Ê600Ê000.00 , $4Ê600Ê000.00 ,"May 15, 2012",2012,May,May 2012,,
NYRB,Marquez ,Rafael ,Rafael  Marquez ,D , $4Ê600Ê000.00 , $4Ê600Ê000.00 ,"January 9, 2011",2011,January,January 2011,,
NE,Agudelo,Juan,Juan Agudelo,F, $400Ê000.00 , $427Ê500.00 ,"September 15, 2015",2015,September,September 2015,,
LAG,Keane,Robbie,Robbie Keane,F, $4Ê500Ê000.00 , $4Ê500Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
LAG,Keane,Robbie,Robbie Keane,F, $4Ê500Ê000.00 , $4Ê500Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
LAG,Donovan,Landon,Landon Donovan,F, $4Ê250Ê000.00 , $4Ê583Ê333.00 ,"September 15, 2014",2014,September,September 2014,,
LAG,Donovan,Landon,Landon Donovan,F, $4Ê250Ê000.00 , $4Ê583Ê333.00 ,"April 1, 2014",2014,April,April 2014,,
DC,Aguilar,Miguel,Miguel Aguilar,M, $60Ê000.00 , $60Ê000.00 ,"September 15, 2015",2015,September,September 2015,,
LAG,Keane,Robbie,Robbie Keane,F, $4Ê000Ê000.00 , $4Ê333Ê333.00 ,"September 15, 2013",2013,September,September 2013,,
LAG,Keane,Robbie,Robbie Keane,F, $4Ê000Ê000.00 , $4Ê333Ê333.00 ,"August 1, 2013",2013,August,August 2013,,
LAG,Keane,Robbie,Robbie Keane,F, $4Ê000Ê000.00 , $4Ê333Ê333.00 ,"May 1, 2013",2013,May,May 2013,,
FCD,Akindele,Tesho,Tesho Akindele,F, $70Ê000.00 , $87Ê500.00 ,"September 15, 2015",2015,September,September 2015,,
NYRB,Henry,Thierry,Thierry Henry,F, $3Ê750Ê000.00 , $4Ê350Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
NYRB,Henry,Thierry,Thierry Henry,F, $3Ê750Ê000.00 , $4Ê350Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
NYRB,Henry,Thierry,Thierry Henry,F, $3Ê750Ê000.00 , $4Ê350Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
NYRB,Henry,Thierry,Thierry Henry,F, $3Ê750Ê000.00 , $4Ê350Ê000.00 ,"August 1, 2013",2013,August,August 2013,,
NYRB,Henry,Thierry,Thierry Henry,F, $3Ê750Ê000.00 , $4Ê350Ê000.00 ,"May 1, 2013",2013,May,May 2013,,
NYRB,Cahill,Tim,Tim Cahill,M, $3Ê500Ê000.00 , $3Ê625Ê000.00 ,"September 15, 2014",2014,September,September 2014,,
NYRB,Cahill,Tim,Tim Cahill,M, $3Ê500Ê000.00 , $3Ê625Ê000.00 ,"April 1, 2014",2014,April,April 2014,,
NYRB,Cahill,Tim,Tim Cahill,M, $3Ê500Ê000.00 , $3Ê625Ê000.00 ,"September 15, 2013",2013,September,September 2013,,
